"","estimand","theta","tau.1","Truth.1","Bias.1","RMSE.1","ASE.1","ESE.1","Cov.1","tau.2","Truth.2","Bias.2","RMSE.2","ASE.2","ESE.2","Cov.2"
"1","mu",0,0.3,27.6,-0.3,1.5,1.4,1.5,93,0.5,35.6,-0.3,1.6,1.5,1.6,93
"2","mu_1",0,0.3,13.5,0,1.2,1,1.2,91,0.5,21.2,-0.1,1.4,1.3,1.4,93
"3","mu_0",0,0.3,50,-0.3,2.5,2.4,2.5,94,0.5,59.2,-0.4,2.6,2.5,2.6,93
"4","de",0,0.3,-36.5,0.3,2.5,2.5,2.5,94,0.5,-38.1,0.2,2.8,2.7,2.8,94
"5","se_1",0,0.3,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"6","se_0",0,0.3,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"7","oe",0,0.3,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"8","mu",0.3,0.3,25.2,-0.3,1.4,1.3,1.4,92,0.5,33.3,-0.4,1.5,1.4,1.5,92
"9","mu_1",0.3,0.3,12.8,0,1.1,1,1.1,92,0.5,20.4,-0.2,1.3,1.2,1.3,92
"10","mu_0",0.3,0.3,49.2,-0.4,2.6,2.6,2.6,94,0.5,58.5,-0.4,2.8,2.7,2.7,93
"11","de",0.3,0.3,-36.3,0.3,2.6,2.7,2.6,94,0.5,-38.1,0.2,2.9,2.9,2.9,94
"12","se_1",0.3,0.3,-0.6,0,0.4,0.4,0.4,91,0.5,-0.7,-0.1,0.5,0.5,0.5,91
"13","se_0",0.3,0.3,-0.8,0,0.6,0.6,0.6,95,0.5,-0.7,0,0.6,0.6,0.6,95
"14","oe",0.3,0.3,-2.4,0,0.7,0.7,0.7,92,0.5,-2.4,-0.1,0.7,0.7,0.7,92
"15","mu",0.6,0.3,18.9,-0.3,1.5,1.4,1.4,93,0.5,26.6,-0.5,1.7,1.6,1.6,92
"16","mu_1",0.6,0.3,11.4,-0.1,1.2,1.1,1.2,93,0.5,18.5,-0.3,1.6,1.5,1.6,93
"17","mu_0",0.6,0.3,47,-0.5,3.6,3.5,3.5,94,0.5,56.5,-0.6,3.8,3.8,3.7,94
"18","de",0.6,0.3,-35.6,0.5,3.7,3.6,3.6,93,0.5,-38,0.3,4,3.9,3.9,94
"19","se_1",0.6,0.3,-2.1,0,1,0.9,1,92,0.5,-2.6,-0.1,1.3,1.1,1.2,92
"20","se_0",0.6,0.3,-3,-0.2,2.2,2.1,2.2,94,0.5,-2.7,-0.2,2.2,2.3,2.2,96
"21","oe",0.6,0.3,-8.7,-0.1,1.4,1.3,1.4,92,0.5,-9.1,-0.2,1.5,1.4,1.5,92
