"","estimand","theta","tau","Truth","Bias","RMSE","ASE","ESE","COV","UCOV","censoring_rate"
"1","mu",0.3,0.2,"44.2","-2.5","5.1","4.7","4.5",91,84,0.9
"2","mu_1",0.3,0.2,"24.5","-2.8","7.5","6.3","6.9",90.2,84.2,0.9
"3","mu_0",0.3,0.2,"52.6","-2.6","6.4","5.9","5.8",91.6,87.8,0.9
"4","mu",0.45,0.2,"36.5","-2.4","4.2","3.3","3.4",85.9,84,0.9
"5","mu_1",0.45,0.2,"21.7","-2.2","4.5","3.9","3.9",86.4,84.2,0.9
"6","mu_0",0.45,0.2,"48.6","-2.6","5.8","5.1","5.1",89.1,87.8,0.9
"7","mu",0.6,0.2,"30.1","-2.2","4.4","3.4","3.8",86.4,84,0.9
"8","mu_1",0.6,0.2,"19.6","-2.1","4.4","3.7","3.8",89.4,84.2,0.9
"9","mu_0",0.6,0.2,"45.8","-1.9","7.9","6.5","7.7",90.5,87.8,0.9
"10","mu",0.3,0.4,"54.8","-3.3","6.8","5.5","5.9",84,75.5,0.9
"11","mu_1",0.3,0.4,"36.1","-3.6","9.6","8.2","8.9",88.3,82.1,0.9
"12","mu_0",0.3,0.4,"62.9","-3.7","7.7","6.6","6.7",88.6,81.2,0.9
"13","mu",0.45,0.4,"47.1","-3.4","5.4","4.0","4.1",81.5,75.5,0.9
"14","mu_1",0.45,0.4,"32.7","-3.3","6.1","5.1","5.1",86.4,82.1,0.9
"15","mu_0",0.45,0.4,"58.9","-3.6","7.2","5.9","6.2",85.9,81.2,0.9
"16","mu",0.6,0.4,"40.5","-3.4","5.7","4.2","4.6",82.3,75.5,0.9
"17","mu_1",0.6,0.4,"30.1","-3.2","6.1","4.9","5.2",86.4,82.1,0.9
"18","mu_0",0.6,0.4,"56.1","-3.2","8.8","7.2","8.2",87.7,81.2,0.9
