"","estimand","theta","tau.1","Truth.1","Bias.1","RMSE.1","ASE.1","ESE.1","Cov.1","tau.2","Truth.2","Bias.2","RMSE.2","ASE.2","ESE.2","Cov.2"
"1","mu",0.3,0.3,44.4,0.1,3.6,3.5,3.6,96,0.5,53.2,0.1,3.6,3.6,3.6,96
"2","mu_1",0.3,0.3,17.6,0.3,4.5,3.8,4.5,94,0.5,26.4,0.3,5.1,4.4,5.1,94
"3","mu_0",0.3,0.3,55.9,-0.1,4.6,4.6,4.6,96,0.5,64.6,-0.2,4.5,4.6,4.5,96
"4","de",0.3,0.3,-38.2,0.4,6.1,5.7,6.1,95,0.5,-38.2,0.6,6.5,6.3,6.5,95
"5","se_1",0.3,0.3,2.9,0.4,3.6,3.1,3.6,94,0.5,3.5,0.5,4.2,3.6,4.2,93
"6","se_0",0.3,0.3,3.8,0.2,3.7,3.7,3.7,96,0.5,3.4,0.2,3.7,3.8,3.7,96
"7","oe",0.3,0.3,11,0.2,3,2.9,3,96,0.5,11.1,0.3,3,3,3,96
"8","mu",0.5,0.3,33.4,-0.1,1.8,1.7,1.8,95,0.5,42.1,-0.2,1.9,1.8,1.9,94
"9","mu_1",0.5,0.3,14.8,-0.1,1.8,1.6,1.8,94,0.5,22.9,-0.2,2.2,1.9,2.2,94
"10","mu_0",0.5,0.3,52.1,-0.3,2.8,2.8,2.8,94,0.5,61.2,-0.5,3,2.9,3,94
"11","de",0.5,0.3,-37.3,0.2,3.2,3.1,3.2,95,0.5,-38.3,0.3,3.6,3.4,3.6,94
"12","se_1",0.5,0.3,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"13","se_0",0.5,0.3,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"14","oe",0.5,0.3,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"15","mu",0.7,0.3,23.2,-0.3,1.3,1.2,1.3,91,0.5,31.2,-0.4,1.5,1.3,1.4,93
"16","mu_1",0.7,0.3,12.3,-0.1,1.2,1.1,1.2,91,0.5,19.8,-0.3,1.5,1.3,1.5,91
"17","mu_0",0.7,0.3,48.5,-0.5,3,2.9,3,94,0.5,57.9,-0.7,3.1,3,3.1,94
"18","de",0.7,0.3,-36.2,0.4,3.1,3,3.1,94,0.5,-38.1,0.4,3.4,3.3,3.4,94
"19","se_1",0.7,0.3,-2.4,-0.1,1.6,1.4,1.6,94,0.5,-3.1,-0.1,2,1.7,2,94
"20","se_0",0.7,0.3,-3.6,-0.2,2.7,2.8,2.7,96,0.5,-3.3,-0.2,2.9,2.9,2.9,95
"21","oe",0.7,0.3,-10.2,-0.2,1.6,1.5,1.6,95,0.5,-10.8,-0.2,1.8,1.6,1.8,94
