"","estimand","theta","tau","Truth","Bias","RMSE","ASE","ESE","COV","UCOV","Scenario"
"1","mu",0.3,0.2,"45.1","0.1","2.1","2.0","2.1",94,95,1
"2","mu_1",0.3,0.2,"25.2","-0.9","2.9","2.8","2.8",93,92,1
"3","mu_0",0.3,0.2,"53.7","0.3","2.6","2.5","2.6",94,93,1
"4","de",0.3,0.2,"-28.5","-1.2","3.8","3.6","3.6",94,90,1
"5","oe",0.3,0.2,"7.5","0.1","1.6","1.5","1.6",95,94,1
"6","se_1",0.3,0.2,"2.7","-0.1","2.0","2.0","2.0",96,96,1
"7","se_0",0.3,0.2,"3.7","-0.3","1.9","1.8","1.9",94,93,1
"8","mu",0.45,0.2,"37.6","0.0","1.5","1.4","1.5",95,95,1
"9","mu_1",0.45,0.2,"22.5","-0.8","2.0","1.8","1.9",91,92,1
"10","mu_0",0.45,0.2,"50.0","0.7","2.3","2.1","2.2",93,93,1
"11","de",0.45,0.2,"-27.6","-1.5","3.1","2.7","2.7",91,90,1
"12","mu",0.6,0.2,"31.3","-0.2","1.6","1.6","1.6",95,95,1
"13","mu_1",0.6,0.2,"20.5","-0.7","1.9","1.8","1.8",94,92,1
"14","mu_0",0.6,0.2,"47.4","0.7","3.0","2.7","2.9",93,93,1
"15","de",0.6,0.2,"-27.0","-1.4","3.7","3.1","3.5",91,90,1
"16","oe",0.6,0.2,"-6.4","-0.2","1.3","1.2","1.3",95,94,1
"17","se_1",0.6,0.2,"-2.0","0.0","1.4","1.4","1.4",96,96,1
"18","se_0",0.6,0.2,"-2.6","0.0","2.2","2.0","2.2",95,93,1
"19","mu",0.3,0.4,"55.5","-0.1","2.1","2.1","2.1",95,95,1
"20","mu_1",0.3,0.4,"36.7","-1.1","3.3","3.1","3.2",93,91,1
"21","mu_0",0.3,0.4,"63.6","0.2","2.6","2.5","2.6",95,94,1
"22","de",0.3,0.4,"-26.9","-1.3","4.2","3.9","4.0",95,90,1
"23","oe",0.3,0.4,"7.5","0.1","1.6","1.5","1.6",96,95,1
"24","se_1",0.3,0.4,"3.2","-0.0","2.3","2.3","2.3",96,95,1
"25","se_0",0.3,0.4,"3.6","-0.3","2.0","1.9","1.9",95,93,1
"26","mu",0.45,0.4,"48.1","-0.2","1.6","1.6","1.6",96,95,1
"27","mu_1",0.45,0.4,"33.5","-1.1","2.4","2.1","2.1",92,91,1
"28","mu_0",0.45,0.4,"60.0","0.5","2.3","2.2","2.2",93,94,1
"29","de",0.45,0.4,"-26.5","-1.6","3.4","2.9","3.0",91,90,1
"30","mu",0.6,0.4,"41.5","-0.4","1.8","1.7","1.8",95,95,1
"31","mu_1",0.6,0.4,"31.0","-1.1","2.4","2.1","2.2",93,91,1
"32","mu_0",0.6,0.4,"57.3","0.6","3.2","2.9","3.1",95,94,1
"33","de",0.6,0.4,"-26.3","-1.7","4.2","3.5","3.8",90,90,1
"34","oe",0.6,0.4,"-6.5","-0.3","1.4","1.3","1.4",96,95,1
"35","se_1",0.6,0.4,"-2.5","0.0","1.7","1.7","1.7",95,95,1
"36","se_0",0.6,0.4,"-2.7","0.1","2.4","2.1","2.4",94,93,1
