"","estimand","theta","tau","Truth","Bias","RMSE","ASE","ESE","COV","UCOV","Scenario"
"1","mu",0,0.2,"38.2","-0.4","1.5","1.3","1.4",92,92,1
"2","mu_1",0,0.2,"22.6","-0.7","1.7","1.5","1.6",91,92,1
"3","mu_0",0,0.2,"50.3","0.6","1.9","1.8","1.8",93,94,1
"4","de",0,0.2,"-27.7","-1.3","2.6","2.2","2.2",91,92,1
"5","mu",0.25,0.2,"34.9","-0.5","1.5","1.3","1.4",92,92,1
"6","mu_1",0.25,0.2,"21.3","-0.7","1.7","1.5","1.5",91,92,1
"7","mu_0",0.25,0.2,"48.6","0.7","2.2","2.0","2.0",93,94,1
"8","de",0.25,0.2,"-27.3","-1.4","2.8","2.4","2.4",90,92,1
"9","oe",0.25,0.2,"-3.4","-0.1","0.8","0.8","0.8",94,87,1
"10","se_1",0.25,0.2,"-1.2","-0.0","0.9","0.8","0.9",94,94,1
"11","se_0",0.25,0.2,"-1.6","0.1","0.8","0.8","0.7",94,88,1
"12","mu",0.5,0.2,"29.6","-0.6","1.9","1.7","1.8",94,92,1
"13","mu_1",0.5,0.2,"19.7","-0.6","2.0","1.8","1.9",95,92,1
"14","mu_0",0.5,0.2,"46.5","0.8","4.1","2.8","4.1",94,94,1
"15","de",0.5,0.2,"-26.8","-1.5","3.5","3.1","3.2",93,92,1
"16","oe",0.5,0.2,"-8.6","-0.0","3.6","1.5","3.6",94,87,1
"17","se_1",0.5,0.2,"-2.9","0.1","3.3","1.6","3.3",95,94,1
"18","se_0",0.5,0.2,"-3.7","0.2","3.5","2.0","3.5",95,88,1
"19","mu",0,0.4,"48.4","-0.6","1.6","1.4","1.5",92,92,1
"20","mu_1",0,0.4,"33.5","-1.0","2.0","1.7","1.8",91,90,1
"21","mu_0",0,0.4,"60.2","0.5","1.9","1.8","1.9",93,93,1
"22","de",0,0.4,"-26.6","-1.5","2.8","2.4","2.4",91,90,1
"23","mu",0.25,0.4,"45.0","-0.7","1.6","1.4","1.5",93,92,1
"24","mu_1",0.25,0.4,"32.1","-1.0","2.1","1.7","1.8",90,90,1
"25","mu_0",0.25,0.4,"58.6","0.7","2.1","2.0","2.0",93,93,1
"26","de",0.25,0.4,"-26.5","-1.7","3.1","2.6","2.6",90,90,1
"27","oe",0.25,0.4,"-3.3","-0.1","0.8","0.8","0.8",95,87,1
"28","se_1",0.25,0.4,"-1.4","-0.0","0.9","0.9","0.9",95,95,1
"29","se_0",0.25,0.4,"-1.6","0.2","0.8","0.8","0.8",94,89,1
"30","mu",0.5,0.4,"39.7","-0.8","2.3","1.9","2.2",93,92,1
"31","mu_1",0.5,0.4,"30.1","-0.9","2.6","2.1","2.5",92,90,1
"32","mu_0",0.5,0.4,"56.4","0.8","4.2","3.0","4.2",93,93,1
"33","de",0.5,0.4,"-26.3","-1.9","3.9","3.4","3.4",90,90,1
"34","oe",0.5,0.4,"-8.7","-0.2","1.9","1.6","1.9",94,87,1
"35","se_1",0.5,0.4,"-3.5","0.1","2.2","1.8","2.2",94,95,1
"36","se_0",0.5,0.4,"-3.7","0.3","3.6","2.0","3.6",94,89,1
